Название,Оценка Film.ru,Оценка IMDb,Оценка пользователей,Год,Жанр,Страна,время,режиссер,сценарий,премьера,бюджет,сборы,кинопрокат,производство,другие названия,ссылки,режиссеры,длительность
Побег из Шоушенка,10,9.3,6.8,1994,драма,США,1 час 48 минут,Фрэнк Дарабонт,Фрэнк Дарабонт,24.10.2019 (РФ),25000000 $,$28 341 469 (США),Иноекино,Castle Rock Entertainment,"Sueños de libertad, Die Verurteilten, Shoushenkden Qacish, Изкуплението Шоушенк, Um Sonho de Liberdade, À l'ombre de Shawshank, Sueños de Libertad, Sueños de fuga, Xiao shen ke de jiu shu, Vykoupení z veznice Shawshank, En verden udenfor, Shawshanki lunastus, Cadena perpetua, Cadena perpètua, Avain pakoon, Rita Hayworth - Avain pakoon, Rita Hayworth - avain pakoon, Rita Hayworth - nyckel till flykten, Shawshank Redemption - Avain pakoon, Les évadés, Gaqceva shoushenkidan, Teleftaia exodos: 'Rita Hayworth', Τελευταία έξοδος: Ρίτα Χέιγουορθ, Iskupljenje u Shawshanku, A remény rabjai, Homot Shel Tikva, Rastgari Dar Shawshank, Le ali della libertà, Shôshanku no sora ni, Sueño de fuga, De ontsnapping, Frihetens regn, Skazani na Shawshank, Os Condenados de Shawshank, Inchisoarea Ingerilor, Închisoarea îngerilor, Bekstvo iz Šošenka, Nyckeln till frihet, Kaznilnica odresitve, Vykúpenie z väznice Shawshank, Esaretin Bedeli, Втеча з Шоушенка, Rita Hayworth and the Shawshank Redemption, Sueño de libertad, Nhà tù Shawshank, Sueño de Libertad, Выкупленьне з Шаўшэнку, 肖申克的救赎, Vykoupení z věznice Shawshank, Les Évadés, 月黑高飛, Rastegari dar Shawshank, ショーシャンクの空に, Pabėgimas iš Šoušenko, The Prisoner, Бекство из Шошенка, Kaznilnica odrešitve, 刺激1995, Shawshank Mittraphap Khwamwang Khwamrunraeng, Rita Hayworth and Shawshank Redemption, Shoushenkdan qochish",,,
Криминальное чтиво,10,8.9,6.4,1994,драма,триллер,2 часа 34 минуты,Квентин Тарантино,Роджер Эйвери,29.09.1995 (РФ),8000000 $,$107 928 762 (США),Иноекино,"Miramax, A Band Apart, Jersey Films","Tiempos violentos, Kriminal Qirayet, Криминале, Pulp Fiction: Tempo de Violência, Fiction pulpeuse, Pulp Fiction: Tiempos violentos, Pulp Fiction - Tarinoita väkivallasta, Pulp Fiction: Tarinoita väkivallasta, Makulatura, Pakleni šund, Ponyvaregény, Sifrut Zolla, Ghesse-haye Amme Psandaneh, Bulvarinis skaitalas, Lubene, Petparačke priče, Sund, Pulp Fiction: Historky z podsvetia, Ucuz Roman, Кримiнальне чтиво, Black Mask,",Сайт фильма,,
Молчание ягнят,10,8.6,7.4,1991,драма,триллер,1 час 58 минут,Джонатан Демме,Тед Толли,16.09.2021 (РФ),19000000 $,$130 742 922 (США),Иноекино,"Strong Heart, Demme Production, Orion Pictures","Das Schweigen der Lдmmer, Il silenzio degli innocenti, El silencio de los inocentes, Das Schweigen der Lämmer, Мълчанието на агнетата, O Silêncio dos Inocentes, Le silence des agneaux, Mlcanie jahniat, Mlcení jehnátek, Ondskabens øjne, Voonakeste vaikimine, El silenci dels anyells, El silencio de los corderos, När lammen tystnar, Uhrilampaat, Kravta dumili, I siopi ton amnon, Η σιωπή των αμνών, Kad jaganjci utihnu, A bárányok hallgatnak, Hitsujitachi no Chinmoku, Avineliu tylejimas, De schreeuw van het lam, Nattsvermeren, Milczenie owiec, Tacerea mieilor, Ko jagenjcki obmolknejo, Kuzularin Sessizligi, Мовчання ягнят, Silence of the Lambs, Su Im Lang Cua Bay Cuu, 沉默的羔羊, Mlčení jehňátek, Mlčanie jahniat, Somt alhemlan, Le Silence des agneaux, Sokout-e barreha, 羊たちの沈黙, Avinėlių tylejimas, Tăcerea mieilor, Кад јагањци утихну, Ko jagenjčki obmolknejo, Ammahit Mai Ngiap, Kuzuların Sessizliği, Qo'zichoqlar sukunati, Sự Im Lặng Của Bầy Cừu",,,
Унесенные призраками,10,8.6,8.1,2001,мультфильмы,приключения,2 часа 5 минут,Хаяо Миядзаки,Хаяо Миядзаки,31.12.2002 (РФ),1900000000 $,$10 055 859 (США),Централ Партнершип,"Tokuma Shoten, Studio Ghibli, Nippon Television Network (NTV), Dentsu, Buena Vista Home Entertainment, Tohokushinsha Film Corporation (TFC), Mitsubishi","Spirited Away, Chihiros Reise ins Zauberland, La cittа incantata, Miyazaki's Spirited Away, Sen, Sen and the Mysterious Disappearance of Chihiro, Spirited Away, The Spiriting Away of Sen and Chihiro, Sen to Chihiro no kamikakushi, El viaje de Chihiro, Ruhlarin Qaçisi, Le voyage de Chihiro, Отнесена от духовете, A Viagem de Chihiro, Cesta do fantazie, Chihiro og heksene, Vaimudest viidud, Chihiroren bidaia, El viatge de Chihiro, Henkien kätkemä, Diakopes sti hora ton thavmaton, Taxidi sti hora ton thavmaton, Ταξίδι στη χώρα των θαυμάτων, Avanture male Chihiro, Chihiro szellemországban, The Wonderful Journey, Shahre Ashbah, La città incantata, Sen-gwa Chihiro-ui Haeng-Bang-Bulmyeong, Stebuklingi Sihiros nuotykiai dvasiu pasaulyje, De reis van Chihiro, Spirited Away: W krainie bogów, Calatoria lui Chihiro, Začarani grad, Čudežno potovanje, Cesta do fantázie, Ruhlarin Kaçisi, Вiднесенi привидами, 千与千寻, Gömd av andar, 千與千尋, Sen to Chihiro No Kamikakushi, 千と千尋の神隠し, Stebuklingi Šihiros nuotykiai dvasių pasaulyje, Călătoria lui Chihiro, Зачарани град, 神隱少女, Miti Winyan Mahatsachan, Ruhların Kaçışı, Віднесені привидами, Ruhlarda qolgan hislarim, Vùng Đất Linh Hồn, स्पिरिटेड अवे",Официальный сайт (англ.),,
Назад в будущее,10,8.5,6.8,1985,комедия,приключения,1 час 48 минут,Роберт Земекис,Боб Гейл,10.12.2020 (РФ),19000000 $,$210 609 762 (США),Иноекино,"Universal Pictures, Amblin Entertainment, U-Drive Productions","Volver al futuro, Завръщане в бъдещето, De Volta para o Futuro, Retour vers le futur, Návrat do budoucnosti, Návrat do budúcnosti, Zurück in die Zukunft, Tilbage til fremtiden, Tagasi tulevikku, Regreso al futuro, Retorn al futur, Paluu tulevaisuuteen, Tillbaka till framtiden, Epistrofi sto mellon, Επιστροφή στο μέλλον, Povratak u buducnost, Povratak u budućnost, Vissza a jövőbe, Behazara La'Ateed, Aftur til framtíðar, Ritorno al futuro, Atgal i ateiti, Terug naar de toekomst, Tilbake til fremtiden, Powrót do przyszłości, Regresso ao Futuro, Inapoi in viitor, Vrnitev v prihodnost, Gelecege Dönüs, Al Aoda ela Al Mostkbal, 回到未來, Bazgasht be ayandeh, バック・トゥ・ザ・フューチャー, Atpakaļ nākotnē, Atgal į ateitį, Înapoi în viitor, Повратак у будућност, Geleceğe Dönüş, Назад у майбутнє, Kelajakka qaytib, Trở Lại Tương Lai",,,
Леон,10,8.5,7.3,1994,драма,триллер,1 час 50 минут,Люк Бессон,Люк Бессон,14.09.1994 (мир),115000000 $,$19 501 238 (США),,"Gaumont, Les Films du Dauphin","Leon - Der Profi, Léon: The Professional, Leon: The Professional, The Professional, Léon, El perfecto asesino, Леон, O Profissional, Le professionnel, Léon - Der Profi, El profesional, Léon: Profesionalac, Léon, a profi, Leonas, Léon zawodowiec, Léon, o Profissional, Profesionalac, Sevginin Gücü",,,
Принцесса Мононоке,10,8.3,7.4,1997,мультфильмы,приключения,2 часа 14 минут,Хаяо Миядзаки,Нил Гейман,24.06.2010 (РФ),21000000 $,,Ruscico,"DENTSU Music And Entertainment, Nibariki, Nippon Television Network (NTV), Studio Ghibli, TNDG, Tokuma Shoten","Princess Mononoke, La princesa Mononoke, Princesse Mononoké, Принцеса Мононоке, Princesa Mononoke, Princezna Mononoke, Prinzessin Mononoke, Prinsesse Mononoke, Printsess Mononoke, Prinsessa Mononoke, Prigipissa Mononoke, Πριγκίπισσα Μονονόκε, Princeza Mononoke, A vadon hercegnője, Principessa Mononoke, Princese Mononoke, Ksiezniczka Mononoke, A Princesa Mononoke, Printesa Mononoke, Prinsessan Mononoke, Prenses Mononoke, Công Chúa Mononoke, Mononoke-hime, 幽靈公主, Raajakumaaree Mononoke, Rajakumari Meaneaneakk, Shahzade Mononoke, もののけ姫, Princesė Mononokė, Księżniczka Mononoke, Prințesa Mononoke, Принцеза Мононоке, Princezná Mononoke, 魔法公主, Chaoying Chit Winyan Haeng Phong Phrai, Malika Mononoke, 幽灵公主, राजकुमारी मोनोनोके",,,
Красота по-американски,10,8.3,6.1,1999,драма,США,1 час 42 минуты,Сэм Мендес,Алан Болл,22.03.2000 (РФ),15000000 $,$130 096 601 (США),,"Dreamworks Pictures, Jinks, Cohen Company","American Beauty, Belleza americana, Американски прелести, Beleza Americana, Beauté américaine, Americká krása, Tabamatu ilu, Vrtlog života, Amerikai szépség, Amerikos grozybes, Američka lepota, Lepota po ameriško, Amerikan Güzeli, Краса по-американськи, Ve Dep My, 美国丽人, 美麗有罪, अमेरिकन ब्युटी, Zibaei-e amricaei, アメリカン・ビューティー, Amerikos grožybės, Frumusețe americană, Америчка лепота, 美國心玫瑰情, Amerikancha go'zallik, Vẻ Đẹp Mỹ",,,
Вечное сияние чистого разума,10,8.3,6.5,2004,драма,мелодрама,1 час 43 минуты,Мишель Гондри,Пьер Бисмут,29.04.2004 (РФ),20000000 $,$34 400 301 (США),Парадиз,"Focus Features, Anonymous Content, This Is That Productions","Eterno resplandor de una mente sin recuerdos, Vergiss mein nicht!, Silinmish yaddashin ebedi pariltisi, Блясъкът на чистия ум, Brilho Eterno de uma Mente Sem Lembranças, Du soleil plein la tête, Vecný svit neposkvrnené mysli, Vergiss mein nicht, Evigt solskin i et pletfrit sind, Karge meele igavene sära, ¡Olvídate de mí!, Tahraton mieli, I aionia liakada enos katharou myalou, Η αιώνια λιακάδα ενός καθαρού μυαλού, Ljubav za sva vremena, Vječni sjaj nepobjedivog uma, Egy makulátlan elme örök ragyogása, Shemesh nitzhit be'rosh tzaloul, Eilíft sólskin hins flekklausa hugar, Se mi lasci ti cancello, Etânaru sanshain, Jausmu galia, Evig solskinn i et plettfritt sinn, Zakochany bez pamieci, O Despertar da Mente, Stralucirea eterna a mintii neprihanite, Večni sjaj besprekornog uma, Vecno sonce brezmadeznega uma, Vecný svit neposkvrnenej mysle, Sil Bastan, Вiчне сяйво чистого розуму, Tia Nang Vinh Cuu Cua Tam Hon Tinh Khiet, Brilho Eterno de uma Mente sem Lembranças, Věčný svit neposkvrněné mysli, En obefläckad själ, Η Αιώνια Λιακάδα ενός Καθαρού Μυαλού, Derakhshesh-e abadi-e yek zehn-e pak, エターナル・サンシャイン, Gaišo atmiņu mūžīgais starojums, Jausmų galia, Zakochany bez pamięci, Strălucirea eternă a minții neprihănite, Вечни сјај беспрекорног ума, Večný svit nepoškvrnenej mysle, Večno sonce brezmadežnega uma, 王牌冤家, Lop Thoe Hai Mai Luem, Sil Baştan, Вічне сяйво чистого розуму, G'uborsiz aqlning abadiy yorug'ligi, Tia Nắng Vĩnh Cửu Của Tâm Hồn Tinh Khiết","Официальный сайт (англ.)Лауреаты и номинанты на премию ""Оскар""-2005",,
Унесенные ветром,10,8.2,7.6,1939,драма,исторический,3 часа 41 минута,,  ...,15.12.1939 (мир),3977000 $,,,"Selznick International Pictures, Metro-Goldwyn-Mayer (MGM)","Via col vento, Vom Winde verweht, Lo que el viento se llevó, Autant en emporte le vent, Gejaagd door de wind, Отнесени от вихъра, ...E o Vento Levou, Jih proti Severu, Odviate vetrom, Borte med blæsten, Tuulest viidud, Allò que el vent s'endugué, Foise co vento, Borta med vinden, Tuulen viemää, Osa pairnei o anemos, Όσα παίρνει ο άνεμος, Zameo ih vjetar, Elfújta a szél, Bar Bad Rafte, Kaze to tomo ni sarinu, Tatt av vinden, Przeminelo z wiatrem, E Tudo o Vento Levou, Pe Aripile Vantului, Prohujalo sa vihorom, V vrtincu, Унесенные ветром, Rüzgar gibi geçti, Вiднесенi вiтром, Prohujalo s vihorom, 乱世佳人, Zahab-a ma'a alreeh, 亂世佳人, 風と共に去りぬ, Vėjo nublokšti, Przeminęło z wiatrem, Pe aripile vântului, Прохујало са вихором, Rüzgâr gibi geçti, Віднесені вітром, Shamollarda qolgan hislarim, Cuốn Theo Chiều Gió",,Сэм Вуд,
